PC;Lib_Processus_Cascade;AM;Lib_Activite_Metier;AC;Lib_Activite_Cascade;Label;Lib_Label_Analytique;Concatener_PC_AM_AC_Label;Code_manuel;Type_activite;Activite_1;Lib_Code
PC030;STRUCTURES TERRITORIALES;AM7600;LOCAUX;AC200;LOCAUX;PPPDIM;IMMOBILIER AUTRES STRUCTURES TERRITORIAL;PC030AM7600AC200PPPDIM;37;Structures;Structures Territoriales;ST - Locaux
PC030;STRUCTURES TERRITORIALES;AM7600;LOCAUX;AC200;LOCAUX;PPPEIM;IMMOBILIER DTELP & DD;PC030AM7600AC200PPPEIM;37;Structures;Structures Territoriales;ST - Locaux
PC030;STRUCTURES TERRITORIALES;AM7600;LOCAUX;AC200;LOCAUX;PPPGIM;IMMOBILIER GROUPEMENT;PC030AM7600AC200PPPGIM;37;Structures;Structures Territoriales;ST - Locaux
PC030;STRUCTURES TERRITORIALES;AM7600;LOCAUX;AC200;LOCAUX;PPPJIM;IMMOBILIER PASL;PC030AM7600AC200PPPJIM;37;Structures;Structures Territoriales;ST - Locaux
PC030;STRUCTURES TERRITORIALES;AM7600;LOCAUX;AC200;LOCAUX;PPPLIM;IMMOBILIER DAST;PC030AM7600AC200PPPLIM;37;Structures;Structures Territoriales;ST - Locaux
PC030;STRUCTURES TERRITORIALES;AM4300;STRUCT TERRIT GROUPEMENTS;AC180;AUTRES STRUCTURES TERRITORIALES;PPPGIN;GROUPEMENTS ELP;PC030AM4300AC180PPPGIN;38;Structures;Structures Territoriales;ST - Autres
PC030;STRUCTURES TERRITORIALES;AM4400;STRUCT TERRIT DTELP;AC180;AUTRES STRUCTURES TERRITORIALES;PPPELP;DTELP;PC030AM4400AC180PPPELP;38;Structures;Structures Territoriales;ST - Autres
PC030;STRUCTURES TERRITORIALES;AM4500;STRUCT TERRIT DD;AC180;AUTRES STRUCTURES TERRITORIALES;PPPDIN;STRUCTURES INDIVISES ELP;PC030AM4500AC180PPPDIN;38;Structures;Structures Territoriales;ST - Autres
PC030;STRUCTURES TERRITORIALES;AM4600;STRUCT TERRIT DAST;AC180;AUTRES STRUCTURES TERRITORIALES;PPPLST;DIRECTION D'APPUI ET SOUTIEN TERRITORIAL;PC030AM4600AC180PPPLST;38;Structures;Structures Territoriales;ST - Autres
PC030;STRUCTURES TERRITORIALES;AM4700;STRUCT TERRIT PASL;AC180;AUTRES STRUCTURES TERRITORIALES;PPPJSL;PLATE FORME D'APPUI ET SOUTIEN LOGISTIQU;PC030AM4700AC180PPPJSL;38;Structures;Structures Territoriales;ST - Autres
PC030;STRUCTURES TERRITORIALES;AM7550;VEHICULES;AC180;AUTRES STRUCTURES TERRITORIALES;PPPDVE;VEHICULES STRUCTURE TERRITORIALE;PC030AM7550AC180PPPDVE;38;Structures;Structures Territoriales;ST - Autres
PC040;SUPPORTS;AM5935;SURETE;AC180;AUTRES STRUCTURES TERRITORIALES;PPPDSS;STRUCT. TERRIT. SURETE;PC040AM5935AC180PPPDSS;38;Structures;Structures Territoriales;ST - Autres
PC040;SUPPORTS;AM5935;SURETE;AC180;AUTRES STRUCTURES TERRITORIALES;PPPES1;SURETE DCN;PC040AM5935AC180PPPES1;38;Structures;Structures Territoriales;ST - Autres
PC040;SUPPORTS;AM5985;CENTRE DE RELATION CLIENTS;AC180;AUTRES STRUCTURES TERRITORIALES;PPPDRC;CENTRE DE RELATION CLIENTS;PC040AM5985AC180PPPDRC;38;Structures;Structures Territoriales;ST - Autres
PC050;DIRECTION GENERALE;AM7200;DIRECTION GENERALE;AC330;DIRECTION GENERALE;PPPES2;DIRECTION GENERALE SURETE;PC050AM7200AC330PPPES2;39;Structures;Structures Nationales;Structures Nationales
PC050;DIRECTION GENERALE;AM7200;DIRECTION GENERALE;AC330;DIRECTION GENERALE;PPPSDM;DG ELP CHARGES RECURRENTES DIRECTION GEN;PC050AM7200AC330PPPSDM;39;Structures;Structures Nationales;Structures Nationales
PC050;DIRECTION GENERALE;AM7600;LOCAUX;AC330;DIRECTION GENERALE;PPPNIM;IMMOBILIER DIRECTION GENERALE;PC050AM7600AC330PPPNIM;39;Structures;Structures Nationales;Structures Nationales
PC120;CHARGES DIVERSES;AM8200;RETRAITEMENTS FISCAUX;AC365;FLDC CET;PPPZFD;FLDC CET;PC120AM8200AC365PPPZFD;59;Structures;FLDC - CET;FLDC - CET
PC120;CHARGES DIVERSES;AM8000;CADRES DIRIGEANTS;AC360;AUTRES;PPPZCD;CADRES DIRIGEANTS ELP;PC120AM8000AC360PPPZCD;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8150;FRAIS BANCAIRES;AC360;AUTRES;PPPZFB;CHARGES ET VENTILATION FRAIS BANCAIRES;PC120AM8150AC360PPPZFB;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8200;RETRAITEMENTS FISCAUX;AC360;AUTRES;PPPTVA;RETRAITEMENT TVA PART ELP;PC120AM8200AC360PPPTVA;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8400;ACTIVITE DE TYPE COLIS;AC350;ACTIVITES HORS ELP;QMMZMM;DP ELP ORIGINE COLIS;PC120AM8400AC350QMMZMM;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8500;ACTIVITE DE TYPE COURRIER;AC350;ACTIVITES HORS ELP;QCCZCC;DP ELP ORIGINE COURRIER;PC120AM8500AC350QCCZCC;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8600;ACTIVITE DE TYPE IMMOBILIER;AC350;ACTIVITES HORS ELP;QSSZIM;EXPLOITATION IMMOBILIERE;PC120AM8600AC350QSSZIM;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8700;ACTIVITE DE TYPE SF;AC350;ACTIVITES HORS ELP;QFFZFF;DP ELP ORIGINE SF;PC120AM8700AC350QFFZFF;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM8800;ACTIVITE DE TYPE SUPPORTS;AC350;ACTIVITES HORS ELP;QSSZSS;DP ELP ORIGINE SUPPORTS;PC120AM8800AC350QSSZSS;40;Structures;Charges Diverses;Charges diverses
PC120;CHARGES DIVERSES;AM9200;ETN;AC360;AUTRES;PPPSEC;ECRITURES COMPTABLES NATIONALES ELP;PC120AM9200AC360PPPSEC;40;Structures;Charges Diverses;Charges diverses
PC040;SUPPORTS;AM5800;FORMATION - ULP;AC300;FORMATION;PPPNFO;UNIVERSITE ELP FORMATION;PC040AM5800AC300PPPNFO;41;Supports RLP;SSM - Formation;SSM - Formation
PC040;SUPPORTS;AM5700;COMPTABILITE - ELP;AC290;COMPTABILITE;PPPDC1;COMPTABILITE FISCALITE ELP CAFIS;PC040AM5700AC290PPPDC1;42;Supports RLP;SSM - Comptabilité;SSM - Comptabilité Fournisseurs
PC040;SUPPORTS;AM5700;COMPTABILITE - ELP;AC290;COMPTABILITE;PPPDC2;COMPTABILITE FISCALITE ELP CLIENT;PC040AM5700AC290PPPDC2;43;Supports RLP;SSM - Comptabilité;SSM - Comptabilité Clients
PC040;SUPPORTS;AM5700;COMPTABILITE - ELP;AC290;COMPTABILITE;PPPDC4;COMPTABILITE FISCALITE ELP PERSONEL;PC040AM5700AC290PPPDC4;44;Supports RLP;SSM - Comptabilité;SSM - Comptabilité Personnel
PC040;SUPPORTS;AM5700;COMPTABILITE - ELP;AC290;COMPTABILITE;PPPDC3;COMPTABILITE FISCALITE ELP CABU;PC040AM5700AC290PPPDC3;45;Supports RLP;SSM - Comptabilité;SSM - Comptabilité Bureau
PC040;SUPPORTS;AM5900;INFORMATIQUE - DISFE;AC310;INFORMATIQUE;PPPNI3;Facturation DISFE Part Guichet & LCB;PC040AM5900AC310PPPNI3;46;Supports RLP;SSM - Informatique;SSM - DISFE part bancaire
PC040;SUPPORTS;AM5900;INFORMATIQUE - DISFE;AC310;INFORMATIQUE;PPPNIF;INFORMATIQUE ELP;PC040AM5900AC310PPPNIF;47;Supports RLP;SSM - Informatique;SSM - DISFE
PC040;SUPPORTS;AM5500;ACTIVITES SOCIALES - ELP;AC240;ACTIVITES SOCIALES;PPPZSO;SOCIAL ELP HORS DNAS;PC040AM5500AC240PPPZSO;48;Supports RLP;SSM - Social;SSM - Social
PC040;SUPPORTS;AM5600;ACTIVITES SYNDICALES - ELP;AC250;ACTIVITES SYNDICALES;PPPZSY;SYNDICAL ELP;PC040AM5600AC250PPPZSY;49;Supports RLP;SSM - Syndical;SSM - Syndical
PC040;SUPPORTS;AM6800;INFORMATIQUE - DISIT;AC310;INFORMATIQUE;PPPIIT;PI - DISIT;PC040AM6800AC310PPPIIT;52;Supports Transverses;SST - DISIT;SST - DISIT
PC040;SUPPORTS;AM6000;MAINTENANCE - DSEM;AC220;MAINTENANCE;PPPIMI;PI - DSEM;PC040AM6000AC220PPPIMI;50;Supports RLP;SSM - DSEM;SSM - DSEM
PC040;SUPPORTS;AM6900;INFORMATIQUE - DSI CORP;AC310;INFORMATIQUE;PPPISI;PI- DSI CENTRALE;PC040AM6900AC310PPPISI;53;Supports Transverses;SST - DSI centrale;SST - DSI centrale
PC040;SUPPORTS;AM6500;APPROVISIONNEMENT - DAPO;AC260;APPROVISIONNEMENT;PPPIAP;PI - DAPO;PC040AM6500AC260PPPIAP;54;Supports Transverses;SST - DAPO;SST - DAPO
PC040;SUPPORTS;AM7050;PI - CORPORATE (SEDEP & SRAT);AC270;CORPORATE;PPPITG;PI - CORPORATE INDIVIS;PC040AM7050AC270PPPITG;55;Supports Transverses;SST - Corporate;SST - PI Corporate
PC040;SUPPORTS;AM6300;ACTIVITES SOCIALES - DNAS;AC240;ACTIVITES SOCIALES;PPPISO;PI - DNAS;PC040AM6300AC240PPPISO;56;Supports Transverses;SST - Supports RH;SST - DNAS
PC040;SUPPORTS;AM7000;PI - COURRIER;AC280;COURRIER;PPPICC;PI - ORIGINE METIER COURRIER;PC040AM7000AC280PPPICC;57;Métiers;Courrier vers RLP;Courrier vers RLP
PC040;SUPPORTS;AM5700;COMPTABILITE - ELP;AC290;COMPTABILITE;PPPDCF;COMPTABILITE FISCALITE ELP;PC040AM5700AC290PPPDCF;61;-;-;-
PC010;Activite Guichet;AM0100;ACTIVITE GUICHET;AC010;ACTIVITE GUICHET;PPPRPA;REMUNERATION PRESTATIONS POSTALES AUTRES;PC010AM0100AC010PPPRPA;12;Activités opérationnelles;Activités Guichet;Activités Guichet
PC050;Direction Generale;AM7200;DIRECTION GENERALE;AC330;DIRECTION GENERALE;PPPDXX;DIRECTION EXECUTIVE DEX;PC050AM7200AC330PPPDXX;39;Structures;Structures Nationales;Structures Nationales
PC080;Courrier Pilotage ELP;AM7550;VEHICULES;AC090;BP;PCPBVE;BP - VEHICULES COURRIER METROPOLE;PC080AM7550AC090PCPBVE;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC100;Corse DOM Courrier;AM9300;ETN RH AUTRES;AC390;CORSE DOM COURRIER;OCCSTA;CORSE DOM COURRIER TAXES ASSISES SUR LES;PC100AM9300AC390OCCSTA;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
